epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0008,2.61776,3.49645,2.30739,0.71648,0.07326,0.03512,0.01111,2.70955,10.1155,2.40929,0.08614,0.00014,0.00014
2,132.127,2.01832,2.50577,1.7924,0.05027,0.29895,0.0458,0.01828,2.23064,12.0229,2.114,0.0712843,0.000284258,0.000284258
3,193.77,1.86816,2.41843,1.78583,0.16804,0.33934,0.10677,0.04142,2.12247,12.9072,2.14317,0.0564226,0.000422576,0.000422576
4,239.647,1.8627,2.17164,1.73935,0.15721,0.2759,0.16118,0.06552,2.09805,5.5759,2.22049,0.041555,0.000554954,0.000554954
5,290.044,1.88716,2.20975,1.74606,0.3219,0.39423,0.24613,0.09301,2.04911,4.61497,2.13591,0.0266814,0.000681392,0.000681392
6,352.568,1.83922,2.19272,1.71023,0.14494,0.35321,0.13579,0.05713,2.17281,5.05966,2.12084,0.0118019,0.00080189,0.00080189
7,404.132,1.82961,2.15998,1.72317,0.18827,0.46618,0.2013,0.08282,1.89531,3.7068,2.0477,0.0008812,0.0008812,0.0008812
8,433.137,1.78315,2.20814,1.72336,0.13166,0.4548,0.15142,0.06339,1.98513,3.96451,1.97275,0.0008614,0.0008614,0.0008614
9,470.952,1.78086,2.05497,1.73056,0.19011,0.4936,0.26699,0.11161,1.99969,2.87238,2.04972,0.0008416,0.0008416,0.0008416
10,493.427,1.74415,2.02058,1.73691,0.27908,0.38918,0.29053,0.12018,1.90369,2.5337,1.8959,0.0008218,0.0008218,0.0008218
11,528.835,1.64725,1.92753,1.65298,0.47496,0.32351,0.29252,0.12965,1.89013,3.15562,1.85564,0.000802,0.000802,0.000802
12,564.803,1.68637,1.86421,1.61319,0.39473,0.43976,0.40205,0.1906,1.79291,2.70059,1.7833,0.0007822,0.0007822,0.0007822
13,601.061,1.66941,1.84937,1.63207,0.37271,0.47067,0.35389,0.17307,1.75995,2.52996,1.75966,0.0007624,0.0007624,0.0007624
14,642.907,1.70103,1.88112,1.63831,0.3863,0.46805,0.34453,0.15232,1.83106,2.52367,1.80641,0.0007426,0.0007426,0.0007426
15,689.035,1.64523,1.82632,1.60561,0.25146,0.66066,0.44142,0.20868,1.70101,2.52368,1.73877,0.0007228,0.0007228,0.0007228
